ID,TITLE,YEAR,RUNTIME (MINUTES),GENRES
tt0005339,A Fool There Was,1915,67,
tt0005402,The Golden Chance,1915,74,
tt0005529,HAvnens Nat,1916,100,
tt0005557,The Italian,1915,78,
tt0005719,Martyrs of the Alamo,1915,71,
tt0005809,lufvcyhcgmda,1915,50,
tt0005916,Posle smerti,1915,46,
tt0005951,Rapsodia satanica,1917,55,
tt0005960,The Regeneration,1915,72,
tt0006206,Les vampires,1915,421,
tt0006327,Young Romance,1915,59,
tt0006333,Leagues Under the Sea,1916,105,
tt0006509,The Children in the House,1916,50,
tt0006517,Civilization,1915,78,
tt0006589,The Devils Needle,1916,59,
tt0006617,DAdskyssen,1916,60,
tt0006688,Flirting with Fate,1916,57,
tt0006731,Going Straight,1916,60,
tt0006736,The Good BadMan,1916,50,
tt0006745,Gretchen the Greenhorn,1916,58,
tt0006753,The HalfBreed,1916,73,
tt0006780,Hells Hinges,1916,64,
tt0006809,His Picture in the Papers,1916,62,
tt0006826,Hoodoo Ann,1916,65,
tt0006864,Intolerance Loves Struggle Throughout the Ages,1916,163,
tt0006886,Judex,1916,300,
tt0007047,The Matrimaniac,1916,46,
tt0007183,Pikovaya dama,1916,63,
tt0007257,Reggie Mixes In,1916,50,
tt0007260,The Return of Draw Egan,1916,50,
tt0007309,Schuhpalast Pinkus,1916,45,
tt0007338,Sherlock Holmes,1916,116,
tt0007340,Shoes,1916,60,
tt0007361,Snow White,1916,63,
tt0007367,The Social Secretary,1916,52,
tt0007558,Where Are My Children,1916,62,
tt0007610,njxbhhnssrlf,1917,61,
tt0007755,Bucking Broadway,1917,53,
tt0007801,Cleopatra,1917,125,
tt0007983,Furcht,1917,72,
tt0008011,A Girls Folly,1917,65,
tt0008100,Himmelskibet,1918,97,
tt0008150,Joan the Woman,1916,138,
tt0008188,The Little American,1917,80,
tt0008196,The Little Princess,1917,62,
tt0008309,A Modern Musketeer,1917,68,
tt0008395,Otets Sergiy,1918,112,
tt0008443,The Poor Little Rich Girl,1917,65,
tt0008489,Raffles the Amateur Cracksman,1917,70,
tt0008499,Rebecca of Sunnybrook Farm,1917,78,
tt0008519,A Romance of the Redwoods,1917,70,
tt0008536,Satana likuyushchiy,1917,87,
tt0008634,Straight Shooting,1917,57,
tt0008663,Terje Vigen,1917,48,
tt0008672,Thomas Graals bAsta film,1917,90,
tt0008679,Tillie Wakes Up,1917,48,
tt0008687,Tom Sawyer,1917,59,
tt0008710,TAsen frAn Stormyrtorpet,1917,87,
tt0008775,Wild and Woolly,1917,72,
tt0008827,Amarilly of ClothesLine Alley,1918,67,
tt0008843,Az aranyember,1919,83,
tt0008854,Die Augen der Mumie Ma,1918,63,
tt0008879,BergEjvind och hans hustru,1918,136,
tt0008891,The Blue Bird,1918,75,
tt0008950,Carmen,1918,70,
tt0009014,La dixiAme symphonie,1918,94,
tt0009062,Das fidele GefAngnis,1917,48,
tt0009086,The Forbidden City,1918,62,
tt0009150,Hearts of the World,1918,117,
tt0009241,Johanna Enlists,1918,72,
tt0009326,MLiss,1918,73,
tt0009356,The Married Virgin,1918,71,
tt0009369,Mickey,1918,93,
tt0009440,Old Wives for New,1918,60,
tt0009475,A Pair of Silk Stockings,1918,60,
tt0009559,A Romance of Happy Valley,1919,76,
tt0009608,Shifting Sands,1918,60,
tt0009611,Shoulder Arms,1918,45,
tt0009652,Stella Maris,1918,84,
tt0009682,Tarzan of the Apes,1918,73,
tt0009701,Tih Minh,1918,418,
tt0009796,The Whispering Chorus,1918,86,
tt0009878,Anders als die Andern,1919,50,
tt0009892,Ravished Armenia,1919,80,
tt0009893,Die Austernprinzessin,1919,58,
tt0009894,El automAvil gris,1919,223,
tt0009900,Back to Gods Country,1919,73,
tt0009915,Behind the Door,1919,70,
tt0009937,Blind Husbands,1919,99,
tt0009968,Broken Blossoms or The Yellow Man and the Girl,1919,90,
tt0009976,The Busher,1919,63,
tt0010040,DaddyLongLegs,1919,85,
tt0010060,The Delicious Little Devil,1919,63,
tt0010071,Dont Change Your Husband,1919,71,
tt0010103,Eyes of Youth,1919,78,
tt0010137,For Better for Worse,1919,70,
tt0010162,Getting Mary Married,1919,65,
tt0010193,The Greatest Question,1919,80,
tt0010195,The Grim Game,1919,71,
tt0010208,Harakiri,1919,80,
tt0010219,Hawthorne of the USA,1919,57,
tt0010227,Heart o the Hills,1919,87,
tt0010247,Herr Arnes pengar,1919,122,
tt0010267,The Hoodlum,1919,78,
tt0010281,Ich mAchte kein Mann sein,1918,45,
tt0010307,Jaccuse,1919,166,
tt0010323,Das Cabinet des Dr Caligari,1920,76,
tt0010418,Male and Female,1919,116,
tt0010456,Meyer aus Berlin,1919,58,
tt0010466,The Miracle Man,1919,80,
tt0010484,The Mother and the Law,1919,95,
tt0010559,Die Pest in Florenz,1919,92,
tt0010598,PrAsidenten,1919,75,
tt0010600,Die Puppe,1919,48,
tt0010635,The Roaring Road,1919,58,
tt0010662,Scarlet Days,1919,77,
tt0010680,The Sentimental Bloke,1919,106,
tt0010726,Die Spinnen  Teil  Der Goldene See,1919,81,
tt0010755,SAngen om den eldrAda blomman,1919,145,
tt0010806,True Heart Susie,1919,87,
tt0010821,Unheimliche Geschichten,1919,112,
tt0010844,Victory,1919,62,
tt0010853,Wagon Tracks,1919,64,
tt0010879,When the Clouds Roll by,1919,85,
tt0010890,The Wicked Darling,1919,59,
tt0010925,Yankee Doodle in Berlin,1919,58,
tt0010953,Algol  TragAdie der Macht,1920,99,
tt0010962,Anna Boleyn,1920,100,
tt0010969,LAtlantide,1921,136,
tt0011000,Blade af Satans bog,1920,167,
tt0011130,Dr Jekyll and Mr Hyde,1920,82,
tt0011131,Dr Jekyll and Mr Hyde,1920,40,
tt0011157,Erotikon,1920,106,
tt0011173,FanteAnne,1920,93,
tt0011193,The Flapper,1920,88,
tt0011217,Der Gang in die Nacht,1921,81,
tt0011221,Genuine,1920,88,
tt0011237,Der Golem wie er in die Welt kam,1920,91,
tt0011267,Headin Home,1920,71,
tt0011294,LHirondelle et la MAsange,1924,80,
tt0011302,Lhomme du large,1920,86,
tt0011317,Humoresque,1920,60,
tt0011358,Just Pals,1920,50,
tt0011369,Der KlosterjAger,1920,70,
tt0011370,Klostret i Sendomir,1920,54,
tt0011371,Kohlhiesels TAchter,1920,64,
tt0011387,The Last of the Mohicans,1920,73,
tt0011414,The Love Expert,1920,60,
tt0011439,The Mark of Zorro,1920,107,
tt0011440,Markens grAde,1921,107,
tt0011474,The Mollycoddle,1920,86,
tt0011513,Nomads of the North,1920,109,
tt0011565,The Penalty,1920,90,
tt0011588,Pollyanna,1920,58,
tt0011607,PrAstAnkan,1920,71,
tt0011641,Romeo und Julia im Schnee,1920,45,
tt0011647,The RoundUp,1920,70,
tt0011652,The Saphead,1920,77,
tt0011679,Sex,1920,87,
tt0011716,Something to Think About,1920,78,
tt0011723,Die Spinnen  Teil  Das Brillantenschiff,1920,104,
tt0011741,Suds,1920,75,
tt0011742,Sumurun,1920,115,
tt0011753,Terror Island,1920,55,
tt0011779,The Toll Gate,1920,73,
tt0011833,Von morgens bis mitternachts,1920,65,
tt0011837,Das wandernde Bild,1920,67,
tt0011841,Way Down East,1920,145,
tt0011865,Why Change Your Wife,1920,90,
tt0011870,Within Our Gates,1920,79,
tt0011904,The Ace of Hearts,1921,75,
tt0011909,The Affairs of Anatol,1921,117,
tt0011948,Be My Wife,1921,55,
tt0011960,Die Bergkatze,1921,79,
tt0011979,The Blot,1921,91,
tt0012016,Buried Treasure,1921,70,
tt0012027,Camille,1921,72,
tt0012068,The Conquering Power,1921,89,
tt0012122,Dream Street,1921,102,
tt0012125,Ducks and Drakes,1921,58,
tt0012134,Eldorado,1921,100,
tt0012136,Enchantment,1921,90,
tt0012187,Forbidden Fruit,1921,87,
tt0012190,The Four Horsemen of the Apocalypse,1921,150,
tt0012249,Hamlet,1921,131,
tt0012281,Hintertreppe,1921,50,
tt0012313,Das indische Grabmal zweiter Teil  Der Tiger von Eschnapur,1921,100,
tt0012314,Das indische Grabmal erster Teil  Die Sendung des Yoghi,1921,120,
tt0012334,Johan,1921,84,
tt0012349,The Kid,1921,68,
tt0012364,KArkarlen,1921,100,
tt0012382,Leap Year,1924,56,
tt0012397,Little Lord Fauntleroy,1921,112,
tt0012408,The Love Light,1921,89,
tt0012465,Miss Lulu Bett,1921,71,
tt0012486,My Boy,1921,55,
tt0012494,Der mAde Tod,1921,97,
tt0012513,The Nut,1921,74,
tt0012532,Orphans of the Storm,1921,150,
tt0012538,Outside the Law,1920,75,
tt0012631,RojA no reikion,1921,91,
tt0012642,A SailorMade Man,1921,47,
tt0012645,Sappho,1921,82,
tt0012650,Scherben,1921,50,
tt0012651,SchloAY VogelAd,1921,75,
tt0012675,The Sheik,1921,86,
tt0012745,La terre,1921,97,
