ID,Title,Year,Runtime (Minutes),Genre
MAAS1,Guardians of the Galaxy,2014,121,Action,Adventure,Sci-Fi
MADS103,The Martian,2015,144,Adventure,Drama,Sci-Fi
MAFF344,Pete's Dragon,2016,102,Adventure,Family,Fantasy
MAAF6,The Great Wall,2016,103,Action,Adventure,Fantasy
MBDH12,Hidden Figures,2016,127,Biography,Drama,History
MAAF51,Star Wars: Episode VII - The Force Awakens,2015,136,Action,Adventure,Fantasy
MCDM7,La La Land,2016,128,Comedy,Drama,Music
MAAS681,The Hunger Games: Mockingjay - Part 1,2014,123,Action,Adventure,Sci-Fi
MADF121,Miss Peregrine's Home for Peculiar Children,2016,127,Adventure,Drama,Family
